                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.6988,                 1.2747,                 1.3744,                0.72383,                0.57228,                0.62689,                0.30877,                  1.816,                 1.0641,                 1.2511,               0.004258,               0.004258,               0.004258
                     89,                 1.6887,                 1.2572,                 1.3755,                0.72353,                0.56987,                0.62602,                0.30808,                 1.8186,                 1.0627,                 1.2499,               0.004192,               0.004192,               0.004192
                     90,                 1.6909,                 1.2666,                  1.376,                0.71644,                0.58062,                 0.6295,                0.30804,                  1.821,                 1.0654,                 1.2509,               0.004126,               0.004126,               0.004126
                     91,                 1.6904,                 1.2601,                 1.3712,                0.71574,                0.57637,                0.62708,                 0.3078,                 1.8112,                 1.0642,                 1.2463,                0.00406,                0.00406,                0.00406
                     92,                 1.7007,                 1.2635,                 1.3737,                0.72164,                0.57291,                0.62792,                0.30915,                 1.8095,                 1.0645,                 1.2458,               0.003994,               0.003994,               0.003994
                     93,                 1.6911,                  1.254,                  1.367,                 0.7196,                0.57804,                0.62846,                0.30764,                 1.8143,                 1.0668,                 1.2473,               0.003928,               0.003928,               0.003928
                     94,                 1.6897,                 1.2622,                 1.3718,                0.71508,                0.57519,                0.62807,                 0.3102,                 1.8041,                 1.0637,                 1.2441,               0.003862,               0.003862,               0.003862
                     95,                 1.6822,                 1.2509,                 1.3661,                 0.7161,                0.57531,                0.62614,                 0.3069,                 1.8164,                 1.0635,                 1.2513,               0.003796,               0.003796,               0.003796
                     96,                 1.6817,                 1.2532,                 1.3688,                0.71466,                0.57557,                0.62459,                0.30748,                 1.8096,                 1.0634,                 1.2464,                0.00373,                0.00373,                0.00373
                     97,                 1.6907,                 1.2546,                 1.3686,                0.72361,                0.57314,                0.62703,                0.30974,                 1.8047,                 1.0595,                 1.2448,               0.003664,               0.003664,               0.003664
                     98,                 1.6807,                  1.248,                 1.3669,                0.72709,                0.57367,                0.62817,                0.30865,                 1.8147,                 1.0596,                 1.2481,               0.003598,               0.003598,               0.003598
                     99,                 1.6874,                 1.2571,                 1.3678,                0.72292,                0.57342,                0.62417,                0.30695,                 1.8185,                 1.0623,                  1.249,               0.003532,               0.003532,               0.003532
                    100,                 1.6799,                 1.2455,                 1.3598,                0.72319,                0.57822,                0.62841,                0.30758,                 1.8192,                 1.0607,                 1.2487,               0.003466,               0.003466,               0.003466
                    101,                 1.6726,                 1.2402,                  1.356,                0.72748,                  0.581,                0.62937,                 0.3089,                 1.8121,                 1.0592,                  1.244,                 0.0034,                 0.0034,                 0.0034
                    102,                 1.6753,                 1.2401,                 1.3615,                0.72565,                 0.5747,                  0.627,                0.30862,                 1.8135,                 1.0618,                 1.2462,               0.003334,               0.003334,               0.003334
                    103,                 1.6918,                 1.2563,                 1.3685,                0.72488,                0.57089,                0.62667,                0.30808,                 1.8138,                  1.063,                  1.243,               0.003268,               0.003268,               0.003268
                    104,                 1.6766,                 1.2444,                   1.36,                0.72945,                0.57014,                0.62746,                0.30714,                 1.8127,                 1.0637,                 1.2453,               0.003202,               0.003202,               0.003202
