frame_id,class_name,x1,y1,x2,y2,confidence
1191,potted plant,1723,277,1788,419,0.6898270845413208
1192,potted plant,1723,277,1789,422,0.7160639762878418
1193,potted plant,1722,278,1789,418,0.5119021534919739
1325,car,901,555,941,591,0.7505284547805786
1326,car,895,559,935,591,0.5149341821670532
1499,car,1708,635,1759,667,0.6866991519927979
1521,car,0,324,58,392,0.870762288570404
1522,car,0,325,64,393,0.9597606062889099
1523,car,0,326,66,390,0.9768160581588745
1524,vase,1820,356,1875,475,0.533559262752533
1524,car,0,326,73,391,0.9738535284996033
1525,vase,1820,356,1874,474,0.6693089604377747
1525,car,0,324,79,393,0.9495050311088562
1526,car,0,324,85,393,0.9622697830200195
1527,car,0,324,90,390,0.9603665471076965
1528,car,0,323,94,390,0.9471108317375183
1529,car,0,321,100,390,0.9498934745788574
1530,car,0,320,104,391,0.949269711971283
1531,car,0,319,106,392,0.7558048963546753
1532,car,0,320,109,389,0.9559894800186157
1533,car,0,322,115,392,0.9707728028297424
1534,car,0,318,125,391,0.9726167321205139
1535,car,0,319,131,390,0.9403955936431885
1536,car,0,318,134,383,0.5982780456542969
1537,vase,1819,356,1874,475,0.5024722814559937
1537,car,0,319,141,387,0.6618655323982239
1538,vase,1820,356,1874,475,0.5135794878005981
1539,car,0,317,151,385,0.6454613208770752
1540,car,1419,596,1469,630,0.9789175987243652
1540,car,1383,563,1424,591,0.6960422396659851
1540,car,0,318,156,386,0.9225780963897705
1541,car,1409,596,1461,632,0.6089134812355042
1541,car,3,317,160,387,0.8220375776290894
1541,car,82,318,139,349,0.5770936012268066
1542,car,7,317,163,387,0.9659273028373718
1543,car,20,315,167,387,0.9385898113250732
1544,car,1388,598,1438,628,0.6419088244438171
1544,car,24,316,171,384,0.8996387720108032
1545,car,26,313,179,385,0.5046467185020447
1549,car,40,313,201,382,0.7252859473228455
1550,car,43,311,204,384,0.6547799706459045
1551,car,58,312,209,385,0.5090243220329285
1556,car,79,311,233,381,0.6499365568161011
1557,train,79,307,239,382,0.6352704167366028
1558,train,81,307,244,382,0.8633453845977783
1559,train,90,307,248,381,0.7175194621086121
1560,vase,1819,357,1874,477,0.5534107685089111
1560,train,88,306,252,382,0.6674510836601257
1561,train,95,307,255,380,0.535154402256012
1562,vase,1819,357,1873,477,0.57078617811203
1578,car,185,300,341,372,0.8523299098014832
1578,car,1145,572,1196,603,0.8365952968597412
1580,car,188,302,346,373,0.5087776184082031
1582,vase,1819,359,1872,475,0.5093146562576294
1583,car,211,305,360,366,0.7075949907302856
1584,car,217,303,364,365,0.5894539952278137
1584,car,1096,571,1150,603,0.5105401873588562
1597,train,268,301,430,369,0.6101125478744507
1602,bench,279,298,456,370,0.5873819589614868
1604,bench,289,299,460,365,0.670874834060669
1608,bench,316,308,473,374,0.6346306800842285
1609,bench,323,312,480,373,0.5898975729942322
1644,potted plant,368,317,423,369,0.5454105138778687
1650,potted plant,403,318,459,364,0.7895911335945129
1654,bench,542,313,701,372,0.6749985814094543
1655,bench,552,315,706,371,0.8056305646896362
1656,bench,549,309,714,370,0.6736970543861389
1657,bench,557,310,721,370,0.767616868019104
1660,bench,570,306,737,368,0.6183705925941467
1661,bench,576,310,738,367,0.5492457151412964
1663,bench,590,307,749,368,0.5865041613578796
1664,car,1638,617,1676,647,0.9199807643890381
1664,bench,600,312,756,366,0.8021848797798157
1665,car,1632,618,1672,647,0.9498335719108582
1665,bench,597,308,762,367,0.8859100937843323
1665,potted plant,1723,280,1794,423,0.6594597101211548
1671,potted plant,565,341,606,367,0.5573316216468811
1671,potted plant,561,338,603,365,0.5820177793502808
1671,potted plant,517,318,560,348,0.5913448929786682
1671,potted plant,517,317,559,346,0.6070846915245056
1672,vase,1814,357,1871,471,0.5171592235565186
1677,vase,1813,356,1872,476,0.5006436109542847
1678,vase,1813,357,1872,476,0.8477090001106262
1678,potted plant,1723,279,1798,421,0.6126657724380493
1679,vase,1812,356,1872,477,0.910977840423584
1679,potted plant,1722,278,1798,423,0.5710167288780212
1680,vase,1814,357,1871,476,0.7642509341239929
1680,potted plant,1722,278,1798,424,0.5352673530578613
1681,vase,1814,356,1872,478,0.5344970226287842
1686,vase,1818,357,1875,469,0.6277512907981873
1687,potted plant,1722,278,1798,422,0.5018680691719055
1688,potted plant,1723,279,1798,423,0.6445015072822571
1689,vase,1818,358,1873,473,0.8966855406761169
1691,vase,1816,355,1874,474,0.512315571308136
1692,vase,1817,358,1874,473,0.6282746195793152
1693,vase,1817,357,1874,472,0.5541663765907288
1695,vase,1817,356,1875,474,0.6839658617973328
1698,vase,1816,356,1874,473,0.6922910213470459
1705,vase,1815,356,1870,472,0.5631328225135803
1706,vase,1816,357,1871,472,0.5918368697166443
1707,vase,1817,356,1871,472,0.6694477796554565
1708,vase,1816,356,1871,472,0.7027750611305237
1709,vase,1816,357,1871,473,0.6720235347747803
1710,vase,1816,357,1871,473,0.5795429944992065
1711,vase,1817,356,1871,473,0.6163517832756042
1712,vase,1816,356,1871,473,0.7157905101776123
1713,vase,1816,356,1871,472,0.7975821495056152
1714,vase,1816,356,1871,473,0.7376701831817627
1715,vase,1816,356,1871,473,0.6998627185821533
1716,vase,1816,356,1871,473,0.639994740486145
1717,vase,1816,356,1871,473,0.6181459426879883
1718,vase,1816,356,1871,473,0.6955363750457764
1719,vase,1816,357,1871,473,0.6652780771255493
1720,vase,1817,356,1871,473,0.5677354335784912
1727,vase,1817,357,1872,474,0.5473771691322327
1728,vase,1817,357,1872,473,0.5485696792602539
1728,bench,929,307,1084,381,0.7580580115318298
1729,vase,1817,357,1872,473,0.5432609915733337
1729,bench,930,305,1092,383,0.5877038240432739
1730,vase,1817,357,1872,473,0.5675665736198425
1730,bench,938,314,1091,377,0.564207911491394
1731,vase,1818,357,1872,473,0.6652595400810242
1732,vase,1818,357,1872,473,0.7012296319007874
1732,bench,948,307,1105,381,0.7981136441230774
1733,vase,1818,357,1872,472,0.7599720358848572
1734,vase,1818,357,1872,472,0.7715272903442383
1735,vase,1818,357,1872,471,0.7679170370101929
1736,vase,1818,358,1871,471,0.7290504574775696
1737,vase,1818,358,1871,472,0.8567638993263245
1737,bench,974,309,1136,385,0.5098907947540283
1738,vase,1817,358,1872,472,0.899465799331665
1739,vase,1817,358,1871,472,0.899976909160614
1740,vase,1817,358,1871,472,0.8790112137794495
1740,bench,992,313,1154,389,0.6698262691497803
1741,vase,1817,358,1871,472,0.8764645457267761
1741,bench,994,310,1156,387,0.7332915663719177
1742,vase,1816,358,1871,472,0.8901898860931396
1743,vase,1817,358,1871,472,0.8460819125175476
1744,vase,1817,358,1871,472,0.9079464673995972
1745,vase,1818,358,1871,471,0.890168309211731
1745,bench,1014,316,1177,387,0.5841075778007507
1746,vase,1818,358,1872,471,0.8981258869171143
1746,bench,1021,311,1181,388,0.6416873335838318
1747,vase,1818,358,1872,472,0.8833048939704895
1748,vase,1818,358,1872,471,0.8944814205169678
1749,vase,1819,359,1872,471,0.9185389876365662
1750,vase,1818,358,1872,472,0.9249632954597473
1750,car,1161,574,1198,600,0.6844696402549744
1750,bench,1045,316,1205,392,0.6878991723060608
1751,vase,1818,358,1872,472,0.9155020713806152
1751,bench,1050,319,1208,391,0.7519643306732178
1752,vase,1818,358,1872,472,0.919835090637207
1753,vase,1818,358,1872,471,0.913474977016449
1753,potted plant,1059,317,1221,391,0.7001359462738037
1754,vase,1818,358,1872,472,0.8815931081771851
1754,potted plant,1063,316,1228,393,0.7482616901397705
1755,vase,1818,359,1871,471,0.8670932650566101
1755,potted plant,1068,321,1236,393,0.5247443914413452
1756,vase,1817,359,1871,471,0.8127557635307312
1757,vase,1818,358,1871,470,0.8637862801551819
1758,vase,1817,358,1871,471,0.8328530192375183
1759,vase,1817,359,1871,472,0.8578658699989319
1760,vase,1817,359,1871,472,0.8784306645393372
1760,potted plant,1095,316,1255,391,0.507047176361084
1761,potted plant,1041,347,1088,381,0.5379443764686584
1761,vase,1818,358,1871,471,0.8434011936187744
1761,potted plant,1102,319,1264,393,0.8023491501808167
1762,vase,1818,358,1871,470,0.8796356320381165
1762,potted plant,1105,313,1272,393,0.5882431864738464
1763,vase,1817,358,1871,470,0.9089242219924927
1763,potted plant,1110,313,1276,394,0.8745911717414856
1764,vase,1818,358,1871,470,0.9204075336456299
1764,potted plant,1121,314,1280,395,0.671387791633606
1765,vase,1818,358,1871,469,0.9202090501785278
1765,potted plant,1126,316,1281,394,0.7699484825134277
